,Name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29
141,msedge.exe,2164,274,1562500,197,20486,10356,19712,2268131065856,58552,4,18636800,2164,16,561,19,578,1,4687500,2263902760960,19575,18200,29569,4218964,16,6828032,28801,12162728,1,1
142,msedge.exe,844,250,1250000,191,20454,10356,16452,2268131065856,47388,4,15466496,844,15,572,18,584,1,3750000,2263897186304,14996,15104,28641,4019212,16,6488064,27786,11765936,1,1
143,msedge.exe,1748,254,1406250,192,20456,10356,17060,2268131065856,48780,4,15839232,1748,15,564,19,581,1,5468750,2263897194496,15380,15468,28615,4011444,16,6602752,27806,11825608,1,1
144,svchost.exe,11924,199,5781250,182,4216,884,3284,2203410321408,13120,8,2871296,11924,13,97,14,97,0,5937500,2203405594624,9661,2804,0,0,2,13037568,0,0,1,1
145,msedge.exe,6336,346,24531250,229,20998,10356,57240,2268131065856,113308,4,44081152,6336,18,716,30,783,1,234218750,2263975538688,5250625,43048,34207,7557935,16,99176448,38293,22736217,1,1
146,msedge.exe,4156,317,2031250,197,20488,10356,25992,2268131065856,70464,4,24719360,4156,16,664,23,680,1,14218750,2263954685952,24601,24140,34561,8225812,16,68517888,32933,12708428,1,1
147,SystemSettings.exe,5020,881,2187500,1638,28968,576,43520,2203875233792,96808,8,26763264,5020,43,965,45,1108,1,2500000,2203868942336,29887,26136,54,26858,21,2117632,2,32,1,1
148,UserOOBEBroker.exe,7672,130,156250,129,1686,576,2140,2203419287552,9792,8,1994752,7672,11,123,12,125,1,156250,2203416133632,2612,1948,1,5562,1,9973760,0,0,0,1
149,cmd.exe,9380,74,312500,3008,55762,8052,5556,2203386208256,5792,8,3735552,9380,6,44,7,53,1,0,2203380035584,7175,3648,221,176857,1,5926912,0,0,0,1
150,conhost.exe,11428,286,22968750,90344,5596934,9380,8184,2203505553408,23136,8,8146944,11428,16,234,18,271,1,6562500,2203486281728,6137,7956,18,8143,3,23642112,0,0,0,1
151,SearchApp.exe,11812,1297,9218750,3607,633328,576,299992,2239151456256,380488,8,244854784,11812,168,1025,180,1087,1,53437500,2239135571968,116509,239116,60,197650,47,312918016,255,4328127,1,0
152,TeamViewer_Service.exe,8252,451,2968750,6676,584654,884,18944,2203495952384,34260,8,19050496,8252,26,197,34,217,0,54375000,2203483181056,28047,18604,66,32599144,24,28270592,2446,181175,1,0
153,RuntimeBroker.exe,5872,446,1718750,1557,56022,576,9472,2203615170560,33928,8,7184384,5872,22,281,29,494,1,2031250,2203507027968,11933,7016,213,51923,5,31432704,1,160,1,1
154,svchost.exe,9048,167,5625000,20869,1114178,884,2792,2203396816896,8668,8,2039808,9048,10,75,15,76,0,2343750,2203392622592,19816,1992,0,0,3,8421376,0,0,1,1
155,conda.exe,7508,40,156250,29,756,9380,576,4345417728,2876,8,536576,7508,4,24,5,24,1,0,4343320576,750,524,1,256,1,2916352,0,0,0,1
156,python.exe,1476,241,51250000,141915,14576584,7508,600948,52449026048,612100,8,615370752,1476,193,276,193,328,1,21541406250,52449026048,2696434,600948,3416,39321128,3,626786304,1,4,0,1
157,svchost.exe,2052,123,0,66,1470,884,1748,2203390078976,6744,8,1703936,2052,9,60,9,60,0,156250,2203389030400,1889,1664,1,3499,6,6815744,0,0,1,1
158,audiodg.exe,10592,514,9843750,3893,102258,2944,16148,2203426385920,22056,8,13987840,10592,14,109,16,110,0,32656250,2203422187520,25531,13660,1,6869,10,20291584,0,0,1,0
159,SecurityHealthHost.exe,6276,186,781250,108,1548,576,3120,2203428569088,10356,8,2637824,6276,11,135,13,136,1,0,2203421704192,2835,2576,1,8413,3,10276864,0,0,1,1
160,msedge.exe,7128,499,144218750,316,20506,10356,109472,2268131065856,194328,4,54534144,7128,26,930,38,1005,1,830625000,2264119410688,527790,53256,278878,107723097,17,114667520,315747,216777916,1,1
161,msedge.exe,1488,366,6250000,230,20598,10356,65124,2272642129920,124596,4,51933184,1488,20,697,25,724,1,34843750,2268272996352,78244,50716,6143,5061484,17,108441600,6820,4791176,1,1
162,msedge.exe,6228,400,18593750,221,20506,10356,213440,2268349497344,293512,8,195440640,6228,20,642,26,699,1,189062500,2268319625216,213437,190860,88730,34879342,25,258048000,79748,46165843,1,1
163,smartscreen.exe,9124,410,312500,521,16607,576,9056,2238108000256,24704,8,8318976,9124,23,221,26,224,1,312500,2238101831680,6557,8124,8,5907,8,24653824,1,160,0,1
164,cmd.exe,11572,77,0,222,3678,8052,5000,2203384422400,5444,8,3002368,11572,6,45,7,53,1,0,2203378249728,1719,2932,1,206,1,5537792,0,0,0,1
165,conhost.exe,5924,281,39687500,371184,31630260,11572,7968,2203497111552,22756,8,7999488,5924,16,234,17,265,1,43906250,2203486228480,5867,7812,18,7372,3,23203840,0,0,0,1
166,nbits_collector.exe,11016,50,9687500,24532,437512,11572,1160,4348108800,4172,8,1105920,11016,4,27,5,27,1,1406250,4344963072,5484,1080,2088,12715776,1,4235264,4738,17373056,0,1
167,nbits_collector.exe,6932,225,55000000,246609,15708148,11016,250884,4678828032,252648,8,248213504,6932,31,173,31,174,1,1258125000,4671451136,1405978,242396,93937,4649883681,4,253665280,6675,1180761534,0,1
168,msedge.exe,6704,228,781250,200,20474,10356,12740,2268131065856,29456,4,12922880,6704,14,560,15,576,1,312500,2263888654336,8367,12620,80,63812,15,30121984,106,19304,1,1
169,VSSVC.exe,2520,176,156250,113,1392,884,2444,2203398258688,9800,8,2236416,2520,12,78,12,78,0,0,2203397734400,2558,2184,1,5427,8,10031104,0,0,0,0
170,svchost.exe,7352,149,0,371,7182,884,2120,2203397447680,8996,8,2170880,7352,11,72,12,72,0,156250,2203397447680,2328,2120,1,4825,8,9207808,0,0,1,1
171,WmiPrvSE.exe,5940,356,5312500,7237,125352,576,9132,2203424579584,19800,8,8531968,5940,19,118,21,120,0,2656250,2203424555008,12922,8332,42,257344,14,19599360,144,44060,0,0
172,WmiPrvSE.exe,7796,171,156250,84,1116,576,2736,2203395399680,9576,8,2801664,7796,11,74,11,74,0,0,2203395362816,2615,2736,0,0,9,9764864,0,0,0,0
173,TrustedInstaller.exe,10080,134,312500,51,1164,884,2132,2203390386176,7804,8,2183168,10080,10,65,10,65,0,312500,2203390386176,2019,2132,1,4482,9,7987200,12,1282,1,1
174,TiWorker.exe,8684,178,1562500,307,2282,576,7660,2203417149440,15340,8,4767744,8684,12,99,13,101,0,1718750,2203413938176,5758,4656,91,1370210,7,11407360,27,3167,1,1
175,WmiPrvSE.exe,6192,167,312500,139,5014,576,3056,2203396145152,10192,8,2998272,6192,12,76,12,76,0,0,2203396145152,2638,2928,0,0,9,10289152,0,0,0,0
176,msiexec.exe,5520,174,156250,177,4900,884,6284,2203409788928,9576,8,6434816,5520,10,109,10,109,0,0,2203409788928,2509,6284,1,20731,7,9801728,0,0,0,1
