,Name,Path,Infected
109,lsass.exe,Windows\WinSxS\amd64_microsoft-windows-lsa-minwin_31bf3856ad364e35_10.0.19041.906_none_1b902fe5f0fd366e\r\lsass.exe,0
110,manage-bde.exe,Windows\WinSxS\amd64_microsoft-windows-securestartup-tool-exe_31bf3856ad364e35_10.0.19041.1_none_b00bcb3b56b3d8e3\manage-bde.exe,0
111,mcbuilder.exe,Windows\WinSxS\amd64_microsoft-windows-muicachebuilder_31bf3856ad364e35_10.0.19041.1_none_cffda9bf5435db63\mcbuilder.exe,0
112,MdSched.exe,Windows\WinSxS\amd64_microsoft-windows-m..diagnostic-schedule_31bf3856ad364e35_10.0.19041.1_none_49c7a9c019150ac4\MdSched.exe,0
113,memtest.exe,Windows\WinSxS\wow64_microsoft-windows-b..re-memorydiagnostic_31bf3856ad364e35_10.0.19041.844_none_c08144da97cf2bf7\r\memtest.exe,0
114,memtest.exe,Windows\WinSxS\wow64_microsoft-windows-b..re-memorydiagnostic_31bf3856ad364e35_10.0.19041.844_none_c08144da97cf2bf7\memtest.exe,0
115,memtest.exe,Windows\WinSxS\wow64_microsoft-windows-b..re-memorydiagnostic_31bf3856ad364e35_10.0.19041.844_none_c08144da97cf2bf7\f\memtest.exe,0
116,mofcomp.exe,Windows\WinSxS\amd64_microsoft-windows-wmi-core_31bf3856ad364e35_10.0.19041.844_none_974b4f337e69af31\mofcomp.exe,0
117,mofcomp.exe,Windows\WinSxS\amd64_microsoft-windows-wmi-core_31bf3856ad364e35_10.0.19041.844_none_974b4f337e69af31\f\mofcomp.exe,0
118,mofcomp.exe,Windows\WinSxS\amd64_microsoft-windows-wmi-core_31bf3856ad364e35_10.0.19041.844_none_974b4f337e69af31\r\mofcomp.exe,0
119,mountvol.exe,Windows\WinSxS\amd64_microsoft-windows-mountvol_31bf3856ad364e35_10.0.19041.1_none_684a86f0f0d0d27d\mountvol.exe,0
120,MuiUnattend.exe,Windows\WinSxS\wow64_microsoft-windows-international-unattend_31bf3856ad364e35_10.0.19041.906_none_a892faef80a943dc\f\MuiUnattend.exe,0
121,MuiUnattend.exe,Windows\WinSxS\wow64_microsoft-windows-international-unattend_31bf3856ad364e35_10.0.19041.906_none_a892faef80a943dc\MuiUnattend.exe,0
122,MuiUnattend.exe,Windows\WinSxS\wow64_microsoft-windows-international-unattend_31bf3856ad364e35_10.0.19041.906_none_a892faef80a943dc\r\MuiUnattend.exe,0
123,MuiUnattend.exe,Windows\WinSxS\amd64_microsoft-windows-international-unattend_31bf3856ad364e35_10.0.19041.906_none_9e3e509d4c4881e1\MuiUnattend.exe,0
124,MuiUnattend.exe,Windows\WinSxS\amd64_microsoft-windows-international-unattend_31bf3856ad364e35_10.0.19041.906_none_9e3e509d4c4881e1\r\MuiUnattend.exe,0
125,MuiUnattend.exe,Windows\WinSxS\amd64_microsoft-windows-international-unattend_31bf3856ad364e35_10.0.19041.906_none_9e3e509d4c4881e1\f\MuiUnattend.exe,0
126,Narrator.exe,Windows\WinSxS\amd64_microsoft-windows-narrator_31bf3856ad364e35_10.0.19041.789_none_9beee4eb02a5f8c7\Narrator.exe,0
127,Narrator.exe,Windows\WinSxS\amd64_microsoft-windows-narrator_31bf3856ad364e35_10.0.19041.789_none_9beee4eb02a5f8c7\f\Narrator.exe,0
128,Narrator.exe,Windows\WinSxS\amd64_microsoft-windows-narrator_31bf3856ad364e35_10.0.19041.789_none_9beee4eb02a5f8c7\r\Narrator.exe,0
129,nbtstat.exe,Windows\WinSxS\amd64_microsoft-windows-nbtstat_31bf3856ad364e35_10.0.19041.1_none_540191f5bdbc78d5\nbtstat.exe,0
130,ndadmin.exe,Windows\WinSxS\wow64_microsoft-windows-newdev_31bf3856ad364e35_10.0.19041.844_none_f9c241c4e3dae8ec\ndadmin.exe,0
131,ndadmin.exe,Windows\WinSxS\amd64_microsoft-windows-newdev_31bf3856ad364e35_10.0.19041.844_none_ef6d9772af7a26f1\r\ndadmin.exe,0
132,ndadmin.exe,Windows\WinSxS\wow64_microsoft-windows-newdev_31bf3856ad364e35_10.0.19041.844_none_f9c241c4e3dae8ec\f\ndadmin.exe,0
133,ndadmin.exe,Windows\WinSxS\amd64_microsoft-windows-newdev_31bf3856ad364e35_10.0.19041.844_none_ef6d9772af7a26f1\ndadmin.exe,0
134,ndadmin.exe,Windows\WinSxS\amd64_microsoft-windows-newdev_31bf3856ad364e35_10.0.19041.844_none_ef6d9772af7a26f1\f\ndadmin.exe,0
135,ndadmin.exe,Windows\WinSxS\wow64_microsoft-windows-newdev_31bf3856ad364e35_10.0.19041.844_none_f9c241c4e3dae8ec\r\ndadmin.exe,0
136,net.exe,Windows\WinSxS\amd64_microsoft-windows-net-command-line-tool_31bf3856ad364e35_10.0.19041.1_none_08235f0411d49656\net.exe,0
137,net1.exe,Windows\WinSxS\amd64_microsoft-windows-net1-command-line-tool_31bf3856ad364e35_10.0.19041.844_none_64d33f8fb364398c\net1.exe,0
138,net1.exe,Windows\WinSxS\amd64_microsoft-windows-net1-command-line-tool_31bf3856ad364e35_10.0.19041.844_none_64d33f8fb364398c\r\net1.exe,0
139,net1.exe,Windows\WinSxS\amd64_microsoft-windows-net1-command-line-tool_31bf3856ad364e35_10.0.19041.844_none_64d33f8fb364398c\f\net1.exe,0
140,netbtugc.exe,Windows\WinSxS\amd64_microsoft-windows-netbt_31bf3856ad364e35_10.0.19041.572_none_3e399e76562f6053\netbtugc.exe,0
141,netbtugc.exe,Windows\WinSxS\amd64_microsoft-windows-netbt_31bf3856ad364e35_10.0.19041.572_none_3e399e76562f6053\f\netbtugc.exe,0
142,netbtugc.exe,Windows\WinSxS\amd64_microsoft-windows-netbt_31bf3856ad364e35_10.0.19041.572_none_3e399e76562f6053\r\netbtugc.exe,0
143,netcfg.exe,Windows\WinSxS\amd64_microsoft-windows-netcfg_31bf3856ad364e35_10.0.19041.1_none_c61fe93bf0d70d90\netcfg.exe,0
144,NetCfgNotifyObjectHost.exe,Windows\WinSxS\amd64_microsoft-windows-n..setup-compatibility_31bf3856ad364e35_10.0.19041.746_none_4e1b852ddd390c0b\NetCfgNotifyObjectHost.exe,0
145,netiougc.exe,Windows\WinSxS\amd64_microsoft-windows-tcpip_31bf3856ad364e35_10.0.19041.746_none_3f7ee0a8ee28ef7d\f\netiougc.exe,0
146,netiougc.exe,Windows\WinSxS\amd64_microsoft-windows-tcpip_31bf3856ad364e35_10.0.19041.746_none_3f7ee0a8ee28ef7d\r\netiougc.exe,0
147,netiougc.exe,Windows\WinSxS\amd64_microsoft-windows-tcpip_31bf3856ad364e35_10.0.19041.746_none_3f7ee0a8ee28ef7d\netiougc.exe,0
148,netsh.exe,Windows\WinSxS\amd64_microsoft-windows-netsh_31bf3856ad364e35_10.0.19041.1_none_159203c1973658cd\netsh.exe,0
149,newdev.exe,Windows\WinSxS\amd64_microsoft-windows-newdev_31bf3856ad364e35_10.0.19041.844_none_ef6d9772af7a26f1\newdev.exe,0
150,newdev.exe,Windows\WinSxS\wow64_microsoft-windows-newdev_31bf3856ad364e35_10.0.19041.844_none_f9c241c4e3dae8ec\r\newdev.exe,0
151,newdev.exe,Windows\WinSxS\amd64_microsoft-windows-newdev_31bf3856ad364e35_10.0.19041.844_none_ef6d9772af7a26f1\f\newdev.exe,0
152,newdev.exe,Windows\WinSxS\wow64_microsoft-windows-newdev_31bf3856ad364e35_10.0.19041.844_none_f9c241c4e3dae8ec\newdev.exe,0
153,newdev.exe,Windows\WinSxS\wow64_microsoft-windows-newdev_31bf3856ad364e35_10.0.19041.844_none_f9c241c4e3dae8ec\f\newdev.exe,0
154,newdev.exe,Windows\WinSxS\amd64_microsoft-windows-newdev_31bf3856ad364e35_10.0.19041.844_none_ef6d9772af7a26f1\r\newdev.exe,0
155,notepad.exe,Windows\WinSxS\amd64_microsoft-windows-notepad_31bf3856ad364e35_10.0.19041.746_none_4d13d847cecf0038\notepad.exe,0
156,notepad.exe,Windows\WinSxS\amd64_microsoft-windows-notepad_31bf3856ad364e35_10.0.19041.746_none_4d13d847cecf0038\r\notepad.exe,0
157,notepad.exe,Windows\WinSxS\amd64_microsoft-windows-notepad_31bf3856ad364e35_10.0.19041.746_none_4d13d847cecf0038\f\notepad.exe,0
158,ntoskrnl.exe,Windows\WinSxS\amd64_microsoft-windows-os-kernel_31bf3856ad364e35_10.0.19041.928_none_4a4150a512e04c47\r\ntoskrnl.exe,0
159,ntoskrnl.exe,Windows\WinSxS\amd64_microsoft-windows-os-kernel_31bf3856ad364e35_10.0.19041.928_none_4a4150a512e04c47\f\ntoskrnl.exe,0
160,ntoskrnl.exe,Windows\WinSxS\amd64_microsoft-windows-os-kernel_31bf3856ad364e35_10.0.19041.928_none_4a4150a512e04c47\ntoskrnl.exe,0
161,ntprint.exe,Windows\WinSxS\amd64_microsoft-windows-p..randprintui-ntprint_31bf3856ad364e35_10.0.19041.746_none_cdfcc508dc3b7b69\f\ntprint.exe,0
