,Name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
116,svchost.exe,5836,218,312500,232,4488,828,4264,2.20344E+12,13544,8,2936832,5836,13,111,15,153,0,156250,2.20341E+12,3958,2868,5,14853,3,12521472,0,0,1,1,0
117,ShellExperienceHost.exe,4856,556,1875000,658,12378,956,15552,2.20366E+12,52124,8,15228928,4856,27,458,30,531,1,2187500,2.20362E+12,14423,14872,3,30953,10,51675136,0,0,1,0,0
118,RuntimeBroker.exe,4840,205,468750,353,8044,956,3056,2.20345E+12,18584,8,2613248,4840,12,172,13,187,1,312500,2.20344E+12,4792,2552,0,0,3,17412096,0,0,1,1,0
119,svchost.exe,5932,151,312500,167,2580,828,1744,2.20339E+12,7692,8,1675264,5932,13,68,14,69,0,312500,2.20339E+12,2023,1636,7,4516,4,7856128,6,960,1,1,0
120,svchost.exe,6980,261,468750,1313,89190,828,2812,2.2034E+12,8676,8,2662400,6980,14,88,16,88,0,156250,2.2034E+12,2312,2600,0,0,5,8794112,0,0,1,1,0
121,svchost.exe,1424,166,468750,1441,81222,828,1892,2.20339E+12,7880,8,1810432,1424,13,57,14,58,0,0,2.20339E+12,2255,1768,0,0,4,7995392,0,0,1,1,0
122,TrustedInstaller.exe,1976,157,468750,62,1514,828,7656,2.2034E+12,18616,8,2306048,1976,10,72,10,82,0,1250000,2.20339E+12,6201,2252,1,4504,6,8241152,52,7848,1,1,0
123,TiWorker.exe,1324,327,173125000,275910,4773935,956,104344,2.20355E+12,110332,8,46493696,1324,65,186,67,194,0,154218750,2.20353E+12,205808,45404,67984,847004821,6,60039168,21342,457109452,1,1,0
124,MicrosoftEdgeUpdate.exe,5532,210,0,307,3798,1276,2068,60702720,10644,4,1904640,5532,13,108,14,114,0,156250,55427072,3230,1860,0,0,3,1855488,19,1516,1,1,0
125,svchost.exe,204,150,156250,81,1358,828,2148,2.2034E+12,10572,8,1921024,204,11,76,11,77,0,312500,2.2034E+12,2750,1876,1,5294,3,10686464,0,0,1,1,0
126,svchost.exe,8088,108,0,29,1122,828,1460,2.20339E+12,5920,8,1269760,8088,8,57,8,58,0,0,2.20339E+12,1543,1240,1,2942,3,6025216,0,0,1,1,0
127,svchost.exe,5572,135,0,230,2990,828,2860,2.2034E+12,9572,8,2453504,5572,8,76,9,77,0,0,2.20339E+12,2649,2396,624,2294928,1,9506816,38,639707,1,1,0
128,audiodg.exe,1548,175,10000000,340,9814,1932,7720,2.20341E+12,13304,8,6565888,1548,11,92,14,93,0,312500,2.2034E+12,3788,6412,1,5140,5,12259328,0,0,1,0,0
129,svchost.exe,5256,408,17656250,40178,101641711,828,24664,2.20346E+12,37600,8,6881280,5256,20,134,863,154,0,23125000,2.20345E+12,97089,6720,2,200,11,19759104,418,418091962,1,1,0
130,SkypeBackgroundHost.exe,6616,144,468750,144,3756,956,1948,2.20342E+12,8524,8,1888256,6616,9,109,10,109,1,0,2.20341E+12,2239,1844,0,0,3,8699904,0,0,0,0,0
131,VSSVC.exe,5716,175,0,88,1156,828,2164,2.2034E+12,10032,8,1986560,5716,11,74,11,74,0,156250,2.20339E+12,2612,1940,1,4477,7,10268672,0,0,0,0,0
132,svchost.exe,5180,143,156250,215,5912,828,1928,2.20339E+12,8000,8,1921024,5180,10,64,11,66,0,156250,2.20339E+12,2081,1876,1,3990,8,8187904,0,0,1,1,0
133,Trojan.exe,6444,407,2187500,1132,20612,7160,18524,166211584,25760,8,16990208,6444,30,239,30,239,1,6875000,163434496,27120,16592,45,184106,8,4472832,3,86026,0,0,1
134,SearchProtocolHost.exe,7392,368,312500,817,16136,5320,2852,2.20342E+12,14804,4,2551808,7392,14,138,15,140,0,156250,2.20342E+12,4326,2492,5,5396,6,14868480,2,248,0,1,0
135,SearchFilterHost.exe,7916,148,312500,43,1446,5320,1608,2.2034E+12,7564,4,1593344,7916,9,95,9,97,0,0,2.2034E+12,1965,1556,1,4202,5,7733248,0,0,0,1,0
136,svchost.exe,1780,463,781250,1054,22758,828,12584,2.20351E+12,20360,8,9289728,1780,29,170,30,170,0,312500,2.2035E+12,5760,9072,86,2796494,18,20746240,9,54887,1,1,0
137,cmd.exe,4412,76,625000,260,4184,4880,3952,2.20339E+12,5276,8,2981888,4412,6,45,7,74,1,0,2.20338E+12,1800,2912,2,3358,1,5382144,0,0,0,1,0
138,conhost.exe,4896,283,38281250,318893,27253152,4412,7952,2.20349E+12,24084,8,8114176,4896,16,247,17,249,1,43593750,2.20349E+12,6168,7924,18,7446,5,24645632,0,0,0,0,0
139,nbits_collector.exe,1528,51,5156250,24532,437508,4412,1116,4346716160,4088,8,1134592,1528,5,27,5,27,1,1093750,4346716160,5828,1108,2088,12715776,3,4182016,4738,17373056,0,0,0
140,nbits_collector.exe,5544,219,49687500,213963,13507360,1528,177232,4593266688,180592,8,168124416,5544,28,173,28,173,1,323281250,4578226176,338660,164184,60819,1028687247,5,175656960,3322,214010098,0,0,0
141,WmiPrvSE.exe,6960,178,312500,90,1052,956,2484,2.2034E+12,9148,8,2543616,6960,11,74,11,74,0,0,2.2034E+12,2539,2484,1,16287,9,9326592,0,0,0,0,0
142,WmiPrvSE.exe,2832,174,468750,103,1510,956,2576,2.2034E+12,9392,8,2637824,2832,11,76,12,76,0,156250,2.2034E+12,2422,2576,0,0,9,9613312,0,0,0,0,0
143,WmiPrvSE.exe,3464,426,3750000,5680,6644942,956,6692,2.20358E+12,82380,8,5623808,3464,17,152,18,436,0,2968750,2.20343E+12,28846,5492,54,115254,11,17035264,0,0,0,0,0
144,msiexec.exe,7300,175,0,178,4836,828,6184,2.20341E+12,9408,8,6332416,7300,10,108,10,108,0,0,2.20341E+12,2464,6184,1,49647,7,9629696,0,0,0,1,0
145,svchost.exe,2424,107,625000,351,7402,828,1616,2.20339E+12,6088,8,1454080,2424,7,48,8,51,0,0,2.20338E+12,2543,1420,0,0,5,5947392,5067,80286,1,1,0
146,svchost.exe,4608,378,468750,395,27399,828,4044,2.20343E+12,15552,8,4141056,4608,18,132,19,132,0,156250,2.20343E+12,4185,4044,8,48839,10,15921152,0,0,1,1,0
