Last Modified,Last Update,Path,File Size,Exec Flag
01/14/22 03:01:16,N/A,C:\Program Files\WindowsApps\Microsoft.XboxIdentityProvider_12.83.12001.0_x64__8wekyb3d8bbwe\Application,N/A,N/A
12/09/21 00:45:41,N/A,C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_5.721.12013.0_x64__8wekyb3d8bbwe\GameBarFTServer.exe,N/A,N/A
01/14/22 03:04:17,N/A,C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_5.721.12013.0_x64__8wekyb3d8bbwe\Application,N/A,N/A
10/13/21 12:38:40,N/A,C:\WINDOWS\System32\sihclient.exe,N/A,N/A
10/13/21 12:38:12,N/A,C:\WINDOWS\system32\speech_onecore\common\SpeechModelDownload.exe,N/A,N/A
04/09/21 13:54:25,N/A,C:\WINDOWS\system32\srtasks.exe,N/A,N/A
01/14/22 06:04:51,N/A,C:\WINDOWS\SoftwareDistribution\Download\21dcd3b6df7720eb0fcc3c13813c3042\unifiedinstaller.exe,N/A,N/A
11/12/21 03:03:09,N/A,C:\WINDOWS\system32\wbem\WmiApSrv.exe,N/A,N/A
01/14/22 08:33:03,N/A,C:\WINDOWS\system32\MRT.exe,N/A,N/A
01/14/22 06:05:57,N/A,C:\WINDOWS\SoftwareDistribution\Download\Install\Windows-KB890830-x64-V5.97.exe,N/A,N/A
10/14/21 01:06:00,N/A,C:\Program Files\PCHealthCheck\PCHealthCheck.exe,N/A,N/A
01/14/22 07:12:45,N/A,C:\Program Files (x86)\Microsoft OneDrive\OneDriveStandaloneUpdater.exe,N/A,N/A
01/14/22 08:12:16,N/A,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{31E3F79A-F5D2-4920-832F-F6D7BCE7383A}\EDGEMITMP_47712.tmp\setup.exe,N/A,N/A
01/14/22 08:12:14,N/A,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{31E3F79A-F5D2-4920-832F-F6D7BCE7383A}\MicrosoftEdge_X64_97.0.1072.62.exe,N/A,N/A
01/14/22 08:12:11,N/A,C:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.153.55\MicrosoftEdgeUpdateComRegisterShell64.exe,N/A,N/A
01/14/22 08:12:11,N/A,C:\Program Files (x86)\Microsoft\Temp\EU2D2E.tmp\MicrosoftEdgeUpdate.exe,N/A,N/A
01/14/22 08:12:11,N/A,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OnlineInteraction\194b2564-ddc6-49c8-b4f7-3efa375148c7_2249\MicrosoftEdgeWebview2Setup.exe,N/A,N/A
04/09/21 13:48:09,N/A,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,N/A,N/A
04/09/21 13:48:09,N/A,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,N/A,N/A
04/09/21 13:54:16,N/A,C:\WINDOWS\system32\defrag.exe,N/A,N/A
04/09/21 13:48:09,N/A,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\NGenTask.exe,N/A,N/A
04/09/21 13:48:09,N/A,C:\Windows\Microsoft.NET\Framework\v4.0.30319\NGenTask.exe,N/A,N/A
01/14/22 07:22:25,N/A,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2111.5-0\MpCmdRun.exe,N/A,N/A
10/13/21 12:38:10,N/A,C:\Windows\System32\wuapihost.exe,N/A,N/A
01/14/22 07:02:21,N/A,C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe,N/A,N/A
04/09/21 13:53:05,N/A,C:\Windows\System32\SystemSettingsBroker.exe,N/A,N/A
12/07/19 09:09:37,N/A,C:\WINDOWS\System32\msdtc.exe,N/A,N/A
12/09/21 15:10:56,N/A,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\officesvcmgr.exe,N/A,N/A
01/14/22 07:22:25,N/A,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2111.5-0\NisSrv.exe,N/A,N/A
01/14/22 07:22:25,N/A,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2111.5-0\MsMpEng.exe,N/A,N/A
01/14/22 07:22:25,N/A,C:\WINDOWS\TEMP\CA57E123-8496-4E5F-AC1A-5714DE4FBFE4\MpSigStub.exe,N/A,N/A
01/14/22 07:22:24,N/A,C:\WINDOWS\SoftwareDistribution\Download\Install\updateplatform.exe,N/A,N/A
01/13/22 07:48:34,N/A,C:\Program Files (x86)\Microsoft\Edge\Application\97.0.1072.62\notification_helper.exe,N/A,N/A
04/09/21 13:53:05,N/A,C:\WINDOWS\System32\WiFiTask.exe,N/A,N/A
01/14/22 07:12:45,N/A,C:\Program Files (x86)\Microsoft OneDrive\21.220.1024.0005\FileCoAuth.exe,N/A,N/A
10/13/21 12:38:59,N/A,C:\WINDOWS\System32\BdeUISrv.exe,N/A,N/A
